0,000000e+00 3,000000e-01 2,000000e-01 1,000000e+00 2,000000e+00
1,000000e-03 3,003842e-01 2,007895e-01 1,003947e-01 6,266734e-01
2,000000e-03 3,007318e-01 2,014173e-01 3,214070e-01 6,462747e-01
3,000000e-03 3,010831e-01 2,020647e-01 3,126607e-01 6,476301e-01
4,000000e-03 3,014346e-01 2,027135e-01 3,130082e-01 6,500523e-01
5,000000e-03 3,017864e-01 2,033648e-01 3,128437e-01 6,524260e-01
6,000000e-03 3,021385e-01 2,040184e-01 3,127074e-01 6,548135e-01
7,000000e-03 3,024909e-01 2,046744e-01 3,125691e-01 6,572114e-01
8,000000e-03 3,028437e-01 2,053329e-01 3,124305e-01 6,596199e-01
9,000000e-03 3,031969e-01 2,059937e-01 3,122915e-01 6,620391e-01
1,000000e-02 3,035503e-01 2,066570e-01 3,121522e-01 6,644691e-01
1,100000e-02 3,039041e-01 2,073227e-01 3,120125e-01 6,669099e-01
1,200000e-02 3,042583e-01 2,079908e-01 3,118724e-01 6,693616e-01
1,300000e-02 3,046128e-01 2,086614e-01 3,117319e-01 6,718243e-01
1,400000e-02 3,049676e-01 2,093345e-01 3,115911e-01 6,742979e-01
1,500000e-02 3,053228e-01 2,100100e-01 3,114499e-01 6,767826e-01
1,600000e-02 3,056783e-01 2,106881e-01 3,113083e-01 6,792784e-01
1,700000e-02 3,060342e-01 2,113686e-01 3,111664e-01 6,817855e-01
1,800000e-02 3,063904e-01 2,120516e-01 3,110240e-01 6,843038e-01
1,900000e-02 3,067469e-01 2,127372e-01 3,108813e-01 6,868334e-01
2,000000e-02 3,071038e-01 2,134253e-01 3,107382e-01 6,893744e-01
2,100000e-02 3,074611e-01 2,141160e-01 3,105947e-01 6,919268e-01
2,200000e-02 3,078187e-01 2,148092e-01 3,104508e-01 6,944908e-01
2,300000e-02 3,081766e-01 2,155050e-01 3,103065e-01 6,970664e-01
2,400000e-02 3,085349e-01 2,162034e-01 3,101618e-01 6,996536e-01
2,500000e-02 3,088936e-01 2,169043e-01 3,100168e-01 7,022525e-01
2,600000e-02 3,092526e-01 2,176079e-01 3,098713e-01 7,048632e-01
2,700000e-02 3,096119e-01 2,183141e-01 3,097254e-01 7,074858e-01
2,800000e-02 3,099717e-01 2,190229e-01 3,095792e-01 7,101203e-01
2,900000e-02 3,103317e-01 2,197343e-01 3,094326e-01 7,127668e-01
3,000000e-02 3,106921e-01 2,204484e-01 3,092855e-01 7,154253e-01
3,100000e-02 3,110529e-01 2,211652e-01 3,091381e-01 7,180960e-01
3,200000e-02 3,114140e-01 2,218847e-01 3,089902e-01 7,207790e-01
3,300000e-02 3,117755e-01 2,226068e-01 3,088420e-01 7,234741e-01
